"word";"F"
"Il est vrai";9
"Elliot est un jeune";6
"Dick est lent";4
"Il est évident";4
"Boys Over Flowers est un magnifique";2
"Cassidy est juste";2
"Cho est excellent";2
"Christian Slater est catastrophique";2
"David Cronenberg est prégnante";2
"Dirk est un grand";2
"Dom est super";2
"Eddie Izzard est incroyable";2
"Eliot est consciente";2
"Eliott est en mauvaise";2
"Elle est aussi implacable";2
"Elle est néanmoins fidèle";2
"Elle est prête";2
"Elliot est absolument génial";2
"Elliot est censé";2
"Elliot est omniprésente";2
"Elliot est sujet";2
"Elliot est une certaine";2
"Elliot est un geek";2
"Elliott est assez mono-expressive";2
"Evil Corp est lassant";2
"High Castle est déconcertante";2
"High Castle est un véritable";2
"Il est assez difficile";2
"Il est compréhensible";2
"Il est difficile";2
"Il est donc impératif";2
"Il est éperdument amoureux";2
"Il est excessivement beau";2
"Il est fou";2
"Il est juste";2
"Il est même difficile";2
"Il est plus facile";2
"Il est relativement rare";2
"Il est tellement adorable";2
"Il est totalement arrogant";2
"Il est toujours difficile";2
"Il est très crédible";2
"Il est vraiment possessif";2
"Jane est plus proche";2
"Jane est prêt";2
"Lorelei Martins est intéressante";2
"Mindy est drôle";2
"Mindy est sexy";2
"Mindy Kaling est rayonnante";2
"Mr Robot est disponible";2
"Mr Robot est intéressante";2
"Noah Taylor est parfait";2
"On est donc bel";2
"Patrick est bien seul";2
"Patrick est géniale";2
"Patrick Jane est franchement attachant";2
"Patrick Jane est mentaliste";2
"Patrick Jane est sympathique";2
"Powers est une tranquille";2
"Rami Malek est captivant";2
"Rami Malek est hallucinant";2
"Rami Malek est un grand";2
"Red John est rare";2
"Robot est inattendu";2
"Robot est le seul";2
"Sam Esmail est fascinante";2
"Sharlto Copley est impeccable";2
"Taboo est beau";2
"Teresa est intéressante";2
"Teresa Lisbon est vraiment fusionnel";2
"Tout est bon";2
"Tout est parfait";2
"Wolfe est un dangereux";2
"Azumanga Daoih est un grand";1
"Beerus est laid";1
"Beerus est nullissime";1
"Cassidy est fidèle";1
"Ceci est gênant";1
"Cela est plus cohérent";1
"Cyril Hanouna Cyril Hanouna est le meilleur";1
"Dieu est un acarien";1
"Dragon Ball Super est super";1
"Dragon Ball Super est tellement nul";1
"Elle est belliqueuse";1
"Elle est bien folle";1
"Elle est insupportable";1
"Elle est très utile";1
"Freezer est complètement ridicule";1
"Gilgun est très fort";1
"Gilles Verdez est flagrant";1
"Gohan est INJUSTIFIABLE";1
"Goku est "" normal";1
"Hanouna est désormais incapable";1
"Hanouna est énervant";1
"Horatio est rigolo";1
"Il est assez complexe";1
"Il est bon";1
"Il est de bon";1
"Il est donc présent";1
"Il est dure";1
"Il est énorme";1
"Il est magnifique";1
"Il est rare";1
"Il est sympa";1
"Il est tellement rare";1
"Il est visible";1
"Isa est centenaire";1
"Jesse est plutôt passif";1
"Lucifer est classieux";1
"Lucifer est immortel";1
"Lucifer est très basique";1
"Lucifer est unique";1
"Mai est adulte";1
"Miami est visuellement reconnaissable";1
"Mirai Nikki est capable";1
"Mirai Nikki est un petite";1
"Preacher est ... unique";1
"Preacher est fascinante";1
"Preacher est le savant";1
"Quand Freezer est à pleine";1
"Ryan Hurst est assez imposant";1
"Soit Zamasu est con";1
"Super est une super";1
"Takoyakis est ridicule";1
"Thierry Moreau est très drôle";1
"Tom Ellis est bien sympathique";1
"Toriyama est très présent";1
"Tout est juste";1
"Tout est tellement niais";1
"Trunks est une nouvelle";1
"Tulip est excellente";1
"Twelfth est franchement délirant";1
"Yuki est content";1
"Yuki est un adolescent";1
"Yuki est un gros";1
"Yukiteru Amano est un jeune";1
"Yukiteru est très prévisible";1
"Yukiteru est un jeune";1
"Yukki est carrement soulant";1
"Yuno est amoureuse";1
"Yuno est bel";1
"Yuno est juste";1
"Yuno est très présent";1
