Unité	F	f_1 - 4	Score	f_5 - 6	Score	f_7 - 10	Score
"passer"	560	86	1.8509	124	1.0123	350	-2.4704
"par"	1482	164	-0.9796	320	1.2927	998	-0.5144
"le"	25102	2911	-2.6157	5085	1.2932	17106	0.538
"programme"	6	2	0.7985	0	-0.5768	4	-0.206
"de"	18505	2276	0.5585	3426	-5.9207	12803	3.7801
"plate-forme"	20	2	-0.2563	4	0.2349	14	0.2756
"Steam"	18	3	0.4234	1	-0.9932	14	0.5708
","	20448	2390	-1.7569	3914	-2.3732	14144	4.0229
"Teslagrad"	30	0	-1.689	4	-0.5826	26	1.7527
"pointer"	11	4	1.4486	1	-0.4863	6	-0.5906
"enfin"	188	29	0.9733	44	0.8846	115	-1.5453
"bout"	132	14	-0.4552	35	1.4131	83	-0.9109
"son"	2434	213	-7.3645	422	-3.0812	1799	10.0407
"nez"	8	1	0.1901	2	0.3076	5	-0.3019
"."	13134	1519	-1.7596	2549	-1.0149	9066	2.3286
"mais"	2435	319	1.0847	541	2.6866	1575	-3.5639
"en"	4375	546	0.581	843	-0.7736	2986	0.4446
"quoi"	186	32	1.5659	50	1.9043	104	-3.426
"être"	10445	1267	-0.3256	2148	1.4659	7030	-1.1751
"il"	3312	368	-1.4836	726	2.7798	2218	-0.969
"différent"	255	13	-3.9665	40	-1.2777	202	4.3444
"tonne"	14	0	-0.7882	3	0.2624	11	0.5281
"jeu"	4134	497	-0.3918	869	1.5007	2768	-1.0985
"similaire"	16	3	0.5127	5	0.7045	8	-0.9842
"sortir"	222	34	1.0296	41	-0.4722	147	-0.5106
"tout"	2604	356	1.9803	494	-0.8766	1754	-0.5993
"au"	2608	295	-1.0161	543	0.9477	1770	-0.3412
"long"	185	26	0.6119	30	-0.9073	129	0.4729
"année"	150	12	-1.1541	25	-0.7179	113	1.5135
"?"	676	126	6.0996	153	1.392	397	-6.5869
"studio"	31	3	-0.3283	2	-1.4093	26	1.4119
"Rain"	7	0	-0.3941	0	-0.6729	7	1.1731
"Games"	9	0	-0.5067	0	-0.8652	9	1.5082
"ne"	3860	539	3.4153	806	1.2416	2515	-4.0454
"prendre"	547	46	-2.5023	123	1.1562	378	0.5162
"pas"	3372	461	2.3778	727	2.1439	2184	-4.4491
"joueur"	407	55	0.656	58	-2.6898	294	1.4454
"pour"	3222	391	-0.303	679	1.3596	2152	-1.1243
"du"	7376	810	-3.0765	1516	1.1722	5050	0.7212
"à"	6822	915	3.074	1359	0.3456	4548	-2.0117
"occasion"	43	9	1.1509	4	-1.2765	30	0.3249
"premier"	730	91	0.3808	130	-1.053	509	0.779
"exclusivité"	4	0	-0.2252	1	0.231	3	0.2104
"PC"	48	13	2.4072	5	-1.1867	30	-0.5996
"Ma"	2	0	-0.1126	1	0.4465	1	-0.2694
"et"	8121	852	-5.9218	1622	0.3986	5647	2.9049
"paraître"	76	11	0.4997	5	-2.938	60	1.6188
"bien"	1474	140	-3.1421	276	-0.8394	1058	3.0572
"autre"	667	72	-0.8128	133	0.3064	462	0.5966
"2D"	17	0	-0.9571	4	0.3515	13	0.4925
"ou"	1387	150	-1.18	258	-0.8972	979	1.706
"@card@"	1784	244	1.5502	377	1.0297	1163	-2.202
"graphisme"	168	21	0.3178	26	-1.0482	121	0.8266
"mignon"	14	0	-0.7882	1	-0.6957	13	1.4658
"dans"	3047	335	-1.6074	585	-0.7281	2127	1.8035
"style"	74	4	-1.3485	10	-0.969	60	2.0568
"plates-formes"	10	1	-0.1857	0	-0.9613	9	0.9193
"/"	437	95	7.8767	58	-3.7046	284	-1.0055
"réflexion"	29	7	1.2615	6	0.2767	16	-0.9903
"duo"	13	1	-0.2848	1	-0.6243	11	0.7909
"efficace"	76	8	-0.3829	8	-1.6369	60	1.6188
"pourtant"	175	22	0.33	23	-1.872	130	1.3759
"derrière"	51	6	-0.2425	10	-0.2473	35	0.2775
"ce"	6391	919	7.32	1235	-0.8398	4237	-2.7212
"titre"	218	26	-0.2923	37	-0.788	155	0.7426
"qui"	3562	414	-0.7705	722	0.5633	2426	0.3509
"sentir"	120	15	0.3047	22	-0.4103	83	0.3632
"bon"	819	93	-0.5844	162	-0.3017	564	0.51
"électricité"	9	1	-0.1553	1	-0.356	7	0.387
"venir"	228	28	0.2945	43	-0.4087	157	0.3775
"Est"	17	7	2.6011	0	-1.6342	10	-0.5463
"se"	3056	387	0.6939	606	-0.3043	2063	-0.5371
"cacher"	67	5	-0.7936	10	-0.7045	52	1.2489
"un"	10011	1226	0.402	1895	-2.0318	6890	1.4573
"soft"	34	6	0.6449	2	-1.6264	26	0.717
"charme"	34	2	-0.6979	7	0.2795	25	0.5064
"immédiatement"	12	3	0.7657	2	-0.2491	7	-0.48
"envoûtant"	5	0	-0.2815	0	-0.4807	5	0.8379
"falloir"	455	55	-0.286	76	-1.3052	324	1.1178
"dire"	637	86	0.7853	138	0.8629	413	-1.3102
"que"	6314	809	1.2428	1282	0.7252	4223	-1.5183
"travail"	79	6	-0.8531	11	-0.9354	62	1.567
"effectuer"	60	9	0.5179	14	0.5292	37	-0.7438
"équipe"	107	8	-1.0701	20	-0.3589	79	0.9382
"développement"	114	12	-0.4436	30	1.2437	72	-0.8028
"mettre"	412	62	1.3399	69	-1.208	281	0.3136
"rapidement"	111	15	0.4289	21	-0.3389	75	-0.3028
"monde"	511	60	-0.3776	129	2.7589	322	-2.0158
